FEATUREID	huc10	AreaSqKM	summer_prcp_mm	mean_jul_temp	forest	allonnet	devel_hi	agriculture	occ_current	occ_air_2	occ_air_4	occ_air_6
201471023	0106000310	0.9666	284.4797	19.8848	74.3363	3.16574	6.23836	5.77281	0.18305	0.02227	0.00231	0.00024
201471024	0106000310	2.4426	284.3266	20.5467	47.619	6.85335	9.46942	2.61606	0.09829	0.01273	0.00152	0.00018
201471030	0106000310	7.254	283.9326	21.1841	31.854	3.98263	6.73697	3.7469	0.09630	0.01344	0.00174	0.00022
201471031	0106000310	7.8102	281.4129	22.3948	0	0	2.24706	0.311132	0.14208	0.02430	0.00373	0.00056
201471057	0107000614	4.3272	284.8264	19.2709	80.112	12.7288	0.166389	10.7321	0.75029	0.16931	0.01364	0.00094
201471079	0106000310	2.142	284.1815	20.818	49.3333	1.47059	1.05042	9.4958	0.16407	0.02212	0.00260	0.00030
201471143	0107000614	7.1334	284.8924	19.3972	75.4242	14.0802	0.176634	14.1938	0.65585	0.11752	0.00922	0.00065
201471144	0107000614	2.106	284.8038	19.4283	73.1343	6.88034	0.897436	9.31624	0.76254	0.18339	0.01546	0.00110
201471201	0107000614	1.3419	285.0625	19.2975	67.5	6.97518	0	24.6814	0.63248	0.11137	0.00904	0.00066
201471209	0107000614	0.8118	285.0899	19.6299	41.0891	2.54989	0	47.3392	0.27459	0.03099	0.00269	0.00023
201471236	0107000614	3.1644	285.0992	19.6083	52.1674	4.8066	0	33.1911	0.43862	0.05809	0.00485	0.00038
201471237	0107000614	10.0989	284.8874	19.4788	75.2613	11.9062	0.311915	13.1806	0.64909	0.11439	0.00894	0.00063
201471280	0107000614	13.4181	284.941	19.6273	69.8318	10.2153	0.241465	17.7477	0.54501	0.07925	0.00615	0.00044
201471281	0107000614	2.3274	284.8694	19.5921	53.0351	3.09358	0	33.604	0.45168	0.06082	0.00506	0.00040
201471387	0107000614	16.0965	284.9351	19.6831	67.8356	9.28711	0.234834	19.6533	0.50166	0.06811	0.00528	0.00039
201471388	0107000614	0.81	285.1106	21.1203	12.7907	1.22222	3.77778	0	0.52195	0.09265	0.00946	0.00089
201471411	0107000614	1.557	285.173	20.5838	34.3109	4.9711	1.44509	4.79769	0.56909	0.09986	0.00923	0.00078
201471412	0107000614	17.0262	284.9453	19.7811	65.7348	9.01258	0.412306	18.5802	0.48228	0.06388	0.00497	0.00037
201471444	0107000614	102.914	283.1635	22.0428	65.498	21.8987	0.143421	6.34111	0.01590	0.00143	0.00013	0.00001
201471454	0107000614	2.8215	284.9192	20.3869	28.2787	22.0734	0.318979	28.6124	0.19733	0.02136	0.00193	0.00017
201471464	0107000614	1.1754	285.0188	19.9264	34.589	5.0536	0.765697	39.8162	0.26826	0.03081	0.00275	0.00024
201471471	0107000614	129.643	283.4244	22.653	64.0525	21.6483	0.187438	8.00011	0.00433	0.00041	0.00004	0.00000
201471472	0107000614	18.7875	284.9667	19.9223	61.6222	8.58443	0.80479	17.2359	0.45265	0.05814	0.00459	0.00034
201471504	0107000614	0.8955	284.2547	19.7268	64.4898	21.7085	0	6.83417	0.64084	0.11469	0.00932	0.00068
201471532	0107000614	1.5975	284.8455	20.8371	19.883	35.1549	0	18.4789	0.16110	0.01726	0.00160	0.00015
201471554	0107000614	108.609	283.2108	22.1513	65.8032	21.5708	0.1359	6.34918	0.01277	0.00115	0.00010	0.00001
201471566	0107000614	121.912	283.3273	22.4939	66.4326	21.871	0.129191	7.09814	0.00592	0.00055	0.00005	0.00000
201471567	0107000614	15.7833	281.7084	21.6817	1.18765	0	2.40064	1.91595	0.41615	0.06491	0.00671	0.00066
201471578	0107000614	1.6011	279.5128	21.3052	13.7615	3.82237	0.955593	0.84317	0.54797	0.10064	0.01022	0.00095
201471596	0107000614	17.6049	281.4677	21.5815	7.15071	0.348111	2.23915	1.79439	0.41729	0.06327	0.00633	0.00060
201471600	0107000614	150.098	283.6365	23.0496	63.3288	19.8296	0.348371	9.06725	0.00190	0.00018	0.00002	0.00000
201471601	0107000614	2.1609	284.9219	20.4125	38.3895	6.37234	3.79009	2.99875	0.55759	0.09452	0.00857	0.00072
201471615	0107000614	0.7785	284.0629	18.9531	95.3488	10.4046	0	3.12139	0.89057	0.33649	0.03063	0.00197
201471636	0107000614	1.413	280.9174	20.6203	39.0048	6.36943	0	3.05732	0.62265	0.11860	0.01086	0.00089
201471640	0107000614	0.8487	280.1929	20.9737	27.8351	10.1803	0	0.424178	0.56598	0.10079	0.00954	0.00083
201471646	0107000614	153.023	283.6622	23.1258	62.7255	19.5423	0.414054	8.93628	0.00168	0.00016	0.00002	0.00000
201471651	0107000614	12.051	284.2348	19.8568	67.6223	22.6288	0.0821509	13.4279	0.42694	0.05209	0.00404	0.00030
201471670	0107000614	3.2382	283.7974	18.6021	97.8998	9.005	0.138966	18.5937	0.83937	0.24686	0.02014	0.00129
201471671	0107000614	6.7896	284.0326	19.1295	83.6347	14.7137	0.0662778	18.2662	0.66960	0.12027	0.00914	0.00062
201471681	0107000614	1.4049	284.5195	20.8393	12.2924	0	9.16079	3.3312	0.41028	0.06227	0.00630	0.00060
201471688	0107000614	12928.4	300.7827		69.5722	8.74028	0.904609	4.53817				
201471689	0107000614	3.1608	283.7625	20.2614	48.6726	9.79499	2.47722	0.939636	0.61897	0.11301	0.00989	0.00078
201471693	0107000614	12927	300.7846		69.5808	8.74123	0.903712	4.5383				
201471702	0107000614	12770.4	300.9944		69.7036	8.6141	0.909768	4.48661				
201471715	0107000614	3.0546	285.0088	21.0431	20.3774	22.5103	2.32764	1.0607	0.34573	0.04560	0.00430	0.00039
201471740	0107000614	12932.5	300.7779		69.5576	8.74005	0.904928	4.53696				
201471741	0107000614	1.4976	283.3058	21.6796	4.08774	0.961538	0	0	0.50513	0.08956	0.00939	0.00091
201471762	0107000614	2.6451	282.3253	21.2568	13.3208	2.92617	2.92617	0.170126	0.49633	0.08386	0.00843	0.00079
201471788	0107000614	12767.1	300.9984		69.7124	8.61094	0.909418	4.48751				
201471800	0107000614	1.7172	283.2926	19.0934	88.6364	12.9455	0	6.18449	0.83910	0.25201	0.02131	0.00140
201471816	0107000614	0.999	284.9436	19.8277	61.3793	6.75676	0.810811	9.18919	0.66948	0.13021	0.01094	0.00082
201471823	0107000614	3.9168	284.5076	20.1407	55.9499	31.5028	0.137868	5.3079	0.43366	0.05527	0.00445	0.00034
201471824	0107000614	12765.9	301.0001		69.7158	8.6112	0.909435	4.48723				
201471834	0107000614	0.8235	284.9579	19.7953	70	1.96721	0	1.31148	0.80654	0.22608	0.02006	0.00143
201471853	0107000614	1.0206	283.164	19.1321	92.9293	4.67372	0	0	0.90379	0.37073	0.03563	0.00231
201471881	0107000614	3.9708	283.9223	19.057	86.303	2.47053	0	11.3781	0.85244	0.27438	0.02416	0.00162
201471913	0107000614	1.4544	283.9816	19.8705	58.7156	7.85891	0.618812	8.97277	0.67065	0.13221	0.01127	0.00085
201471936	0107000614	12765	301.0017		69.7169	8.61165	0.909413	4.48745				
201471942	0107000614	0.8541	284.5484	19.4596	73.5135	2.8451	0	13.4879	0.74722	0.17108	0.01421	0.00101
201471943	0107000614	2.7162	284.7974	19.9546	53.1429	7.25646	2.12061	10.6362	0.58696	0.09904	0.00843	0.00066
201471966	0107000614	7.7598	284.0014	19.7476	67.3497	4.29135	0.765484	8.02598	0.70969	0.14859	0.01231	0.00089
201471967	0107000614	0.9594	284.3861	20.4168	38.7597	1.21951	1.03189	9.19325	0.58996	0.10601	0.00968	0.00080
201471971	0107000614	2.1456	276.5926	21.7346	0	0	0.79698	0	0.55844	0.11070	0.01210	0.00120
201471974	0107000614	0.8613	283.311	19.1883	88.2353	1.88088	0	1.67189	0.90066	0.36812	0.03608	0.00240
201471975	0107000614	12747.6	301.0246		69.7524	8.60176	0.910592	4.47572				
201471983	0107000614	0.8253	283.0965	19.1894	92.029	13.9586	0	0	0.85961	0.27838	0.02373	0.00153
201471984	0107000614	0.9765	284.7852	19.484	69.5067	11.0599	0	18.9862	0.60446	0.09870	0.00779	0.00056
201471985	0107000614	12746	301.0266		69.7584	8.6018	0.910705	4.47414				
201471991	0107000614	3.9942	284.7126	19.8715	60.9058	6.15142	1.44209	11.1987	0.60332	0.10144	0.00831	0.00062
201471998	0107000614	4.6314	278.3718	20.8893	22.9738	6.92338	0.194326	16.1873	0.38827	0.05363	0.00503	0.00045
201472004	0107000614	9.0531	284.0544	19.9442	62.9147	3.88707	0.765484	7.9829	0.65519	0.12156	0.00998	0.00073
201472005	0107000614	12732.5	301.0439		69.7701	8.60268	0.911221	4.46011				
201472012	0107000614	1.5147	283.6763	19.6586	60.9121	10.814	0	18.4789	0.58760	0.09612	0.00787	0.00059
201472013	0107000614	12736.7	301.0385		69.7646	8.6018	0.91137	4.46216				
201472014	0107000614	12745	301.0282		69.759	8.60162	0.910776	4.47303				
201472017	0107000614	12738.1	301.0366		69.7611	8.60155	0.911267	4.46463				
201472027	0107000614	0.9405	283.8588	19.1625	80.1527	8.89952	0	17.799	0.72998	0.15519	0.01233	0.00085
201472053	0107000614	1.2951	284.6106	20.2035	43.0769	9.58999	0	20.7088	0.41132	0.05384	0.00461	0.00038
201472079	0107000614	1.5876	279.0438	20.3284	34.7496	9.41043	0.283447	25.1134	0.36415	0.04652	0.00414	0.00035
201472087	0107000614	1.053	284.252	19.1253	70.1657	4.01709	0	35.812	0.53473	0.07699	0.00602	0.00044
201472099	0109000101	1.4715	283.6567	21.069	2.85714	1.7737	5.50459	6.91131	0.08870	0.01580	0.00264	0.00044
201472100	0109000101	1.6236	282.8303	20.8935	0	0	12.5831	0	0.06744	0.01208	0.00206	0.00035
201472103	0109000101	0.8127	284.2817	20.7394	30.9735	14.3965	0	0	0.11928	0.01879	0.00270	0.00038
201472104	0109000101	1.143	284.4228	19.9106	55.8824	5.90551	2.12598	0.866142	0.19172	0.02903	0.00376	0.00047
201472117	0107000614	2.8935	283.289	19.3365	86.3469	9.6112	0	3.60809	0.82207	0.23082	0.01912	0.00126
201472118	0107000614	3.6828	283.7003	19.7026	63.0582	8.16227	0	16.6178	0.60976	0.10316	0.00840	0.00062
201472122	0107000614	6.5907	283.5189	19.6397	72.6144	8.87614	0	10.8699	0.67525	0.12693	0.01006	0.00071
201472134	0109000101	1.827	283.9907	19.2128	54.3807	8.2266	9.85222	17.1921	0.09124	0.01302	0.00173	0.00023
201472135	0109000101	3.2157	283.2154	20.9409	3.82653	1.11951	9.23594	4.28212	0.07139	0.01252	0.00209	0.00035
201472145	0107000614	12722.5	301.0571		69.78	8.60657	0.911391	4.45725				
201472151	0109000101	5.0697	283.4946	20.2354	26.387	3.8878	9.40884	9.39109	0.07156	0.01133	0.00170	0.00025
201472164	0109000101	10.2537	283.6791	20.506	27.2229	14.307	4.88897	13.9384	0.05122	0.00794	0.00119	0.00018
201472166	0107000614	2.7027	282.9866	19.059	90.5455	2.9637	0.1665	9.49051	0.85613	0.27575	0.02378	0.00156
201472169	0109000101	13.8339	283.3652	20.7124	23.0101	13.1351	4.49548	12.9595	0.04944	0.00780	0.00119	0.00018
201472170	0109000101	1.1223	281.4112	20.6633	16.7155	9.86367	6.3352	7.05694	0.07104	0.01169	0.00182	0.00028
201472186	0107000614	1.1223	283.8297	20.3929	19.6078	0.801925	0	45.2285	0.17747	0.01970	0.00187	0.00017
201472191	0109000101	2.2905	284.2833	20.1797	48.5207	14.8919	1.0609	4.24362	0.11921	0.01739	0.00231	0.00030
201472195	0109000101	1.0332	276.1085	21.5793	0	0	0	0	0.15508	0.02926	0.00493	0.00081
201472198	0109000101	5.1174	283.8704	20.582	29.0323	24.3757	0.474851	17.7102	0.04804	0.00732	0.00107	0.00016
