rcp_scenario,region,season,year_30yravg,status,percentile,value
N/A,Blackstone,Annual,1985,Observed,N/A,48.1989553723
4.5,Blackstone,Annual,2035,Projected,10,2.04047201954
4.5,Blackstone,Annual,2035,Projected,25,2.44502202578
4.5,Blackstone,Annual,2035,Projected,50,2.86514802078
4.5,Blackstone,Annual,2035,Projected,75,3.90176940258
4.5,Blackstone,Annual,2035,Projected,90,4.14069043805
4.5,Blackstone,Annual,2055,Projected,10,2.86506954844
4.5,Blackstone,Annual,2055,Projected,25,3.17765186727
4.5,Blackstone,Annual,2055,Projected,50,4.09074609939
4.5,Blackstone,Annual,2055,Projected,75,4.98762631566
4.5,Blackstone,Annual,2055,Projected,90,5.41108501404
4.5,Blackstone,Annual,2075,Projected,10,3.04149647177
4.5,Blackstone,Annual,2075,Projected,25,3.58673586163
4.5,Blackstone,Annual,2075,Projected,50,4.81776818628
4.5,Blackstone,Annual,2075,Projected,75,5.78784638658
4.5,Blackstone,Annual,2075,Projected,90,6.16015717052
4.5,Blackstone,Annual,2090,Projected,10,3.32051740638
4.5,Blackstone,Annual,2090,Projected,25,3.98629093889
4.5,Blackstone,Annual,2090,Projected,50,5.19556263291
4.5,Blackstone,Annual,2090,Projected,75,6.41597841217
4.5,Blackstone,Annual,2090,Projected,90,7.48807324042
8.5,Blackstone,Annual,2035,Projected,10,2.40044163944
8.5,Blackstone,Annual,2035,Projected,25,3.18335788484
8.5,Blackstone,Annual,2035,Projected,50,3.66571952546
8.5,Blackstone,Annual,2035,Projected,75,3.90018018735
8.5,Blackstone,Annual,2035,Projected,90,4.23745595823
8.5,Blackstone,Annual,2055,Projected,10,4.18827828067
8.5,Blackstone,Annual,2055,Projected,25,4.61142088719
8.5,Blackstone,Annual,2055,Projected,50,5.43429881612
8.5,Blackstone,Annual,2055,Projected,75,6.24634166853
8.5,Blackstone,Annual,2055,Projected,90,7.23839108398
8.5,Blackstone,Annual,2075,Projected,10,5.59511532244
8.5,Blackstone,Annual,2075,Projected,25,6.23550589868
8.5,Blackstone,Annual,2075,Projected,50,7.63198801185
8.5,Blackstone,Annual,2075,Projected,75,8.8633691682
8.5,Blackstone,Annual,2075,Projected,90,10.6954716412
8.5,Blackstone,Annual,2090,Projected,10,6.74443997844
8.5,Blackstone,Annual,2090,Projected,25,7.63050663405
8.5,Blackstone,Annual,2090,Projected,50,9.46820206616
8.5,Blackstone,Annual,2090,Projected,75,10.9435177198
8.5,Blackstone,Annual,2090,Projected,90,12.645674002
N/A,Boston Harbor,Annual,1985,Observed,N/A,50.1271244274
4.5,Boston Harbor,Annual,2035,Projected,10,1.90627740464
4.5,Boston Harbor,Annual,2035,Projected,25,2.31313433989
4.5,Boston Harbor,Annual,2035,Projected,50,2.64843342045
4.5,Boston Harbor,Annual,2035,Projected,75,3.59909050714
